ctime,relname,pid,mode,granted
1415205045.29796,customer,36385,RowExclusiveLock,t
1415205045.29796,lineitem,36387,RowExclusiveLock,t
1415205045.29796,orders,36386,RowExclusiveLock,t
1415205045.29796,part,36381,RowExclusiveLock,t
1415205045.29796,partsupp,36382,RowExclusiveLock,t
1415205045.29796,pg_locks,36413,AccessShareLock,t
1415205045.29796,pg_stat_activity,36415,AccessShareLock,t
1415205045.29796,pg_stat_all_indexes,36417,AccessShareLock,t
1415205045.29796,pg_stat_all_tables,36416,AccessShareLock,t
1415205045.29796,pg_stat_database,36414,AccessShareLock,t
1415205045.29796,pg_statio_all_indexes,36417,AccessShareLock,t
1415205045.29796,pg_statio_all_tables,36416,AccessShareLock,t
1415205045.29796,supplier,36380,RowExclusiveLock,t
1415205105.37912,customer,36436,ShareLock,t
1415205105.37912,customer,36435,ShareLock,t
1415205105.37912,lineitem,36387,RowExclusiveLock,t
1415205105.37912,lineitem,36387,ExclusiveLock,t
1415205105.37912,orders,36386,RowExclusiveLock,t
1415205105.37912,part,36446,ShareLock,t
1415205105.37912,part,36443,ShareLock,t
1415205105.37912,partsupp,36452,ShareLock,t
1415205105.37912,pg_locks,36462,AccessShareLock,t
1415205105.37912,pg_stat_activity,36461,AccessShareLock,t
1415205105.37912,pg_stat_all_indexes,36463,AccessShareLock,t
1415205105.37912,pg_stat_all_tables,36465,AccessShareLock,t
1415205105.37912,pg_stat_database,36464,AccessShareLock,t
1415205105.37912,pg_statio_all_indexes,36463,AccessShareLock,t
1415205105.37912,pg_statio_all_tables,36465,AccessShareLock,t
1415205165.38444,lineitem,36387,RowExclusiveLock,t
1415205165.38444,orders,36477,ShareLock,t
1415205165.38444,part,36480,ShareUpdateExclusiveLock,t
1415205165.38444,part_p_container_p_brand_p_partkey_idx,36480,AccessShareLock,t
1415205165.38444,part_p_name_idx,36480,AccessShareLock,t
1415205165.38444,part_p_size_idx,36480,AccessShareLock,t
1415205165.38444,part_p_type_p_partkey_idx,36480,AccessShareLock,t
1415205165.38444,pg_locks,36489,AccessShareLock,t
1415205165.38444,pg_stat_activity,36492,AccessShareLock,t
1415205165.38444,pg_stat_all_indexes,36491,AccessShareLock,t
1415205165.38444,pg_stat_all_tables,36490,AccessShareLock,t
1415205165.38444,pg_stat_database,36493,AccessShareLock,t
1415205165.38444,pg_statio_all_indexes,36491,AccessShareLock,t
1415205165.38444,pg_statio_all_tables,36490,AccessShareLock,t
1415205165.38444,pk_part,36480,AccessShareLock,t
1415205225.38485,lineitem,36387,RowExclusiveLock,t
1415205225.38485,pg_locks,36508,AccessShareLock,t
1415205225.38485,pg_stat_activity,36509,AccessShareLock,t
1415205225.38485,pg_stat_database,36510,AccessShareLock,t
1415205285.39298,lineitem,36387,RowExclusiveLock,t
1415205285.39298,pg_locks,36523,AccessShareLock,t
1415205285.39298,pg_stat_activity,36527,AccessShareLock,t
1415205285.39298,pg_stat_all_indexes,36524,AccessShareLock,t
1415205285.39298,pg_stat_all_tables,36526,AccessShareLock,t
1415205285.39298,pg_stat_database,36525,AccessShareLock,t
1415205285.39298,pg_statio_all_indexes,36524,AccessShareLock,t
1415205285.39298,pg_statio_all_tables,36526,AccessShareLock,t
1415205345.39581,lineitem,36387,RowExclusiveLock,t
1415205345.39581,pg_locks,36548,AccessShareLock,t
1415205345.39581,pg_stat_activity,36545,AccessShareLock,t
1415205345.39581,pg_stat_all_indexes,36544,AccessShareLock,t
1415205345.39581,pg_stat_all_tables,36546,AccessShareLock,t
1415205345.39581,pg_stat_database,36547,AccessShareLock,t
1415205345.39581,pg_statio_all_indexes,36544,AccessShareLock,t
1415205345.39581,pg_statio_all_tables,36546,AccessShareLock,t
1415205405.39689,lineitem,36559,AccessExclusiveLock,f
1415205405.39689,lineitem,36566,ShareLock,f
1415205405.39689,lineitem,36564,ShareLock,t
1415205405.39689,lineitem,36565,ShareLock,f
