ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1415205045.29977,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,22,12,12,4,58
1415205045.29977,pg_catalog,pg_type,pg_type_typname_nsp_index,54,33,33,4,152
1415205045.29977,pg_catalog,pg_type,pg_type_oid_index,97,78,78,2,136
1415205045.29977,pg_toast,pg_toast_2619,pg_toast_2619_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_2618,pg_toast_2618_index,2,6,6,2,2
1415205045.29977,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_authid,pg_authid_oid_index,45,45,45,4,86
1415205045.29977,pg_catalog,pg_authid,pg_authid_rolname_index,45,45,45,4,86
1415205045.29977,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,3,3,3,4,5
1415205045.29977,pg_catalog,pg_proc,pg_proc_oid_index,13,13,13,6,25
1415205045.29977,pg_catalog,pg_class,pg_class_relname_nsp_index,50,10,10,4,149
1415205045.29977,pg_catalog,pg_class,pg_class_oid_index,309,297,297,2,362
1415205045.29977,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,366,996,990,7,1047
1415205045.29977,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,2,2,2,3,289
1415205045.29977,pg_catalog,pg_constraint,pg_constraint_oid_index,2,0,0,2,4
1415205045.29977,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2,2
1415205045.29977,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,2,2
1415205045.29977,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2,2
1415205045.29977,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,2,2,2,3,3
1415205045.29977,pg_catalog,pg_operator,pg_operator_oid_index,14,14,14,3,29
1415205045.29977,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_opclass,pg_opclass_oid_index,79,79,79,2,120
1415205045.29977,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,12,484,484,2,16
1415205045.29977,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_amop,pg_amop_opr_fam_index,14,22,22,3,29
1415205045.29977,pg_catalog,pg_amop,pg_amop_fam_strat_index,32,32,32,3,65
1415205045.29977,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,83,143,143,3,206
1415205045.29977,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,2,2,2,2,2
1415205045.29977,pg_catalog,pg_rewrite,pg_rewrite_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_description,pg_description_o_c_o_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_database,pg_database_oid_index,55,54,54,4,101
1415205045.29977,pg_catalog,pg_database,pg_database_datname_index,94,93,93,4,138
1415205045.29977,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_namespace,pg_namespace_oid_index,10,10,10,2,18
1415205045.29977,pg_catalog,pg_namespace,pg_namespace_nspname_index,70,40,40,2,98
1415205045.29977,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_depend,pg_depend_reference_index,194,172,172,10,456
1415205045.29977,pg_catalog,pg_depend,pg_depend_depender_index,0,0,0,4,74
1415205045.29977,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,147,0,0,2,145
1415205045.29977,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_tablespace,pg_tablespace_oid_index,3,3,3,4,2
1415205045.29977,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_shdepend,pg_shdepend_reference_index,11,11,11,2,20
1415205045.29977,pg_catalog,pg_shdepend,pg_shdepend_depender_index,1,0,0,2,0
1415205045.29977,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,40,0,0,1,39
1415205045.29977,pg_catalog,pg_seclabel,pg_seclabel_object_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_shseclabel,pg_shseclabel_object_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_collation,pg_collation_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_collation,pg_collation_name_enc_nsp_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_range,pg_range_rngtypid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_11595,pg_toast_11595_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_11600,pg_toast_11600_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_11605,pg_toast_11605_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_11610,pg_toast_11610_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_11615,pg_toast_11615_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_11620,pg_toast_11620_index,0,0,0,0,0
1415205045.29977,public,nation,pk_nation,0,0,0,0,0
1415205045.29977,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1415205045.29977,public,region,pk_region,0,0,0,0,0
1415205045.29977,pg_catalog,pg_index,pg_index_indexrelid_index,153,153,153,2,196
1415205045.29977,pg_catalog,pg_index,pg_index_indrelid_index,63,122,122,2,79
1415205045.29977,pg_catalog,pg_cast,pg_cast_source_target_index,176,40,40,2,181
1415205045.29977,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1415205045.29977,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1415205045.29977,pg_toast,pg_toast_11590,pg_toast_11590_index,0,0,0,0,0
1415205105.37926,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,54,31,31,4,142
1415205105.37926,pg_catalog,pg_type,pg_type_typname_nsp_index,54,33,33,4,152
1415205105.37926,pg_catalog,pg_type,pg_type_oid_index,227,208,208,2,286
1415205105.37926,public,supplier,supplier_s_suppkey_idx_like,0,0,0,0,0
1415205105.37926,public,supplier,pk_supplier,0,0,0,0,0
1415205105.37926,public,supplier,supplier_s_nationkey_s_suppkey_idx,0,0,0,0,0
1415205105.37926,pg_toast,pg_toast_2619,pg_toast_2619_index,7,0,0,2,51
1415205105.37926,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415205105.37926,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415205105.37926,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415205105.37926,pg_toast,pg_toast_2618,pg_toast_2618_index,6,19,19,2,8
1415205105.37926,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415205105.37926,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415205105.37926,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415205105.37926,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415205105.37926,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
