ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1415206097.90629,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,804,623,623,7,1852
1415206097.90629,pg_catalog,pg_type,pg_type_typname_nsp_index,89,59,59,7,241
1415206097.90629,pg_catalog,pg_type,pg_type_oid_index,2487,2466,2466,4,2686
1415206097.90629,public,supplier,supplier_s_suppkey_idx_like,0,0,0,0,0
1415206097.90629,public,supplier,pk_supplier,40,40,40,4,83
1415206097.90629,public,supplier,supplier_s_nationkey_s_suppkey_idx,0,0,0,0,0
1415206097.90629,pg_toast,pg_toast_2619,pg_toast_2619_index,277,773,773,2,543
1415206097.90629,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415206097.90629,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415206097.90629,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415206097.90629,pg_toast,pg_toast_2618,pg_toast_2618_index,76,246,246,4,112
1415206097.90629,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415206097.90629,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415206097.90629,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415206097.90629,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415206097.90629,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1415206097.90629,public,part,part_p_container_p_brand_p_partkey_idx,0,0,0,0,0
1415206097.90629,public,part,part_p_name_idx,0,0,0,0,0
1415206097.90629,public,part,part_p_type_p_partkey_idx,0,0,0,0,0
1415206097.90629,public,part,part_p_size_idx,0,0,0,0,0
1415206097.90629,public,part,pk_part,26,26,26,6,80
1415206097.90629,public,partsupp,partsupp_ps_suppkey_idx,24,24,24,6,69
1415206097.90629,public,partsupp,pk_partsupp,16,16,16,6,46
1415206097.90629,pg_catalog,pg_authid,pg_authid_oid_index,199,199,199,6,392
1415206097.90629,pg_catalog,pg_authid,pg_authid_rolname_index,199,199,199,6,392
1415206097.90629,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,223,1064,1064,14,649
1415206097.90629,pg_catalog,pg_proc,pg_proc_oid_index,1521,1521,1521,14,3162
1415206097.90629,pg_catalog,pg_class,pg_class_relname_nsp_index,472,289,289,10,1219
1415206097.90629,pg_catalog,pg_class,pg_class_oid_index,7220,7181,7181,4,7469
1415206097.90629,public,customer,customer_c_phone_idx_c_acctbal,0,0,0,0,0
1415206097.90629,public,customer,customer_c_phone_idx,0,0,0,0,0
1415206097.90629,public,customer,customer_c_nationkey_c_custkey_idx,0,0,0,0,0
1415206097.90629,public,customer,pk_customer,28,28,28,6,86
1415206097.90629,public,customer,customer_c_mktsegment_c_custkey_idx,0,0,0,0,0
1415206097.90629,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,5107,10505,10438,14,10797
1415206097.90629,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,42,42,42,3,496
1415206097.90629,pg_catalog,pg_constraint,pg_constraint_oid_index,8,0,0,2,22
1415206097.90629,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2,14
1415206097.90629,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,2,14
1415206097.90629,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2,14
1415206097.90629,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,1,0,0,1,0
1415206097.90629,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,246,1420,1420,8,575
1415206097.90629,pg_catalog,pg_operator,pg_operator_oid_index,516,516,516,7,1155
1415206097.90629,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_opclass,pg_opclass_oid_index,671,671,671,4,881
1415206097.90629,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,235,9391,9391,4,344
1415206097.90629,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_amop,pg_amop_opr_fam_index,444,787,787,7,988
1415206097.90629,pg_catalog,pg_amop,pg_amop_fam_strat_index,768,768,768,6,1636
1415206097.90629,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1415206097.90629,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,671,1041,1041,6,1550
