ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1415206901.19181,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,1750,1403,1403,13,3881
1415206901.19181,pg_catalog,pg_type,pg_type_typname_nsp_index,157,110,108,25,405
1415206901.19181,pg_catalog,pg_type,pg_type_oid_index,6086,6057,6057,6,6463
1415206901.19181,public,supplier,supplier_s_suppkey_idx_like,1,56,56,2,0
1415206901.19181,public,supplier,pk_supplier,3312325,3366221,3366221,713,6641935
1415206901.19181,public,supplier,supplier_s_nationkey_s_suppkey_idx,3,11993,0,28,13
1415206901.19181,pg_toast,pg_toast_2619,pg_toast_2619_index,703,2240,2240,10,1006
1415206901.19181,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415206901.19181,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415206901.19181,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415206901.19181,pg_toast,pg_toast_2618,pg_toast_2618_index,134,434,434,9,195
1415206901.19181,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415206901.19181,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415206901.19181,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415206901.19181,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415206901.19181,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1415206901.19181,public,part,part_p_container_p_brand_p_partkey_idx,13,25995,1979,187,11
1415206901.19181,public,part,part_p_name_idx,0,0,0,0,0
1415206901.19181,public,part,part_p_type_p_partkey_idx,1,13399,13399,85,0
1415206901.19181,public,part,part_p_size_idx,10,919546,0,1984,559
1415206901.19181,public,part,pk_part,75,2000074,2000074,5498,215
1415206901.19181,public,partsupp,partsupp_ps_suppkey_idx,28109,2244296,2244296,20155,70581
1415206901.19181,public,partsupp,pk_partsupp,28291,8113031,8113031,21980,85232
1415206901.19181,pg_catalog,pg_authid,pg_authid_oid_index,378,378,378,8,748
1415206901.19181,pg_catalog,pg_authid,pg_authid_rolname_index,378,378,378,8,748
1415206901.19181,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,479,2222,2222,39,1381
1415206901.19181,pg_catalog,pg_proc,pg_proc_oid_index,3173,3173,3173,26,6624
1415206901.19181,pg_catalog,pg_class,pg_class_relname_nsp_index,985,602,601,16,2432
1415206901.19181,pg_catalog,pg_class,pg_class_oid_index,13349,13305,13305,6,13793
1415206901.19181,public,customer,customer_c_phone_idx_c_acctbal,7,381680,0,1057,8
1415206901.19181,public,customer,customer_c_phone_idx,7,190758,0,539,6
1415206901.19181,public,customer,customer_c_nationkey_c_custkey_idx,12,721220,0,1994,16
1415206901.19181,public,customer,pk_customer,76,76,76,34,215
1415206901.19181,public,customer,customer_c_mktsegment_c_custkey_idx,1,300036,0,1153,0
1415206901.19181,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1415206901.19181,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1415206901.19181,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,9547,19023,18956,23,19891
1415206901.19181,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,43,43,43,12,521
1415206901.19181,pg_catalog,pg_constraint,pg_constraint_oid_index,8,0,0,2,22
