ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1415206901.19312,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,pg_catalog,pg_operator,0,0,1859,6830,0,0,0,0,0,0,45,4980,34,4167,,,,
1415206901.19312,pg_catalog,pg_aggregate,0,0,121,121,0,0,0,0,0,0,3,118,6,211,,,,
1415206901.19312,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,public,lineitem,37,1080285489,826637,97048804,60045669,0,60340,0,59985149,60340,19761654,14140953,573285,4422477,,,,
1415206901.19312,pg_toast,pg_toast_11615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,public,supplier,16,800000,3312329,3378270,100000,0,0,0,100000,0,10865,3335054,743,6641948,,,,
1415206901.19312,pg_catalog,pg_description,0,0,20,0,0,0,0,0,0,0,0,0,12,33,0,0,0,0
1415206901.19312,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,public,part,14,18000000,99,2346435,2000000,0,0,0,2000000,0,182759,450101,7754,785,,,,
1415206901.19312,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,public,customer,14,13500000,103,1593770,1500000,0,0,0,1500000,0,181849,742057,4777,245,,,,
1415206901.19312,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,pg_toast,pg_toast_11620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415206901.19312,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,pg_catalog,pg_default_acl,0,0,60,0,0,0,0,0,0,0,0,0,4,56,,,,
1415206901.19312,pg_toast,pg_toast_11595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,public,time_statistics,26,400,,,30,26,0,26,30,26,3,79,,,,,,
1415206901.19312,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415206901.19312,pg_catalog,pg_attribute,44,292,9590,18999,194,10,16,2,178,24,106,10650,35,20412,,,,
1415206901.19312,pg_catalog,pg_statistic,0,0,1750,1403,64,0,1,0,63,1,72,1465,13,3881,232,1193,10,1006
1415206901.19312,pg_toast,pg_toast_2618,0,0,134,434,0,0,0,0,0,0,35,198,9,195,,,,
1415206901.19312,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415206901.19312,pg_catalog,pg_depend,0,0,513,512,130,0,40,0,90,40,49,687,75,1557,,,,
1415206901.19312,pg_toast,pg_toast_11605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415206901.19312,pg_catalog,pg_opclass,8,8,1737,18709,0,0,0,0,0,0,6,6280,12,2324,,,,
